symbol,combined_score,seasonal_score,technical_score,seasonal_direction,technical_direction,direction_aligned,regime_aligned,momentum_score,trend_score,volatility_score,volume_score,price,atr_pct,date
AMZN,0.6923511750629399,0.5,0.6420546382967716,LONG,LONG,True,True,0.44999999999999996,0.8,0.6947051959218769,0.640567995561981,0,0,2024-02-12
HD,0.6797030444865104,0.5,0.6264106920055788,LONG,LONG,True,True,0.6456594885598927,0.8,0.37411905528909783,0.5894451718989568,0,0,2024-02-12
MSFT,0.6636025942261266,0.5,0.6064967151838299,LONG,LONG,True,True,0.4537950048653911,0.8,0.5533189080207678,0.5984721606002948,0,0,2024-02-12
NVDA,0.7135198300765189,0.5,0.6682372666376237,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6661863331881186,0,0,2024-02-13
META,0.7021123733262845,0.5,0.6541278581648539,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.5956392908242691,0,0,2024-02-13
DIS,0.6918269696536621,0.5,0.6414062704436142,LONG,LONG,True,True,0.44999999999999996,0.8,0.7380583114387671,0.5939730407793038,0,0,2024-02-13
AMZN,0.6912998636317487,0.5,0.640754314943412,LONG,LONG,True,True,0.44999999999999996,0.8,0.7086861105124419,0.6200854642046176,0,0,2024-02-13
MSFT,0.6738257990992491,0.5,0.6191413717987002,LONG,LONG,True,True,0.504972118959108,0.8,0.5448723856843735,0.5933762948704656,0,0,2024-02-13
NVDA,0.7123983059330095,0.5,0.6668501001026708,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6592505005133535,0,0,2024-02-14
DIS,0.6939109740007614,0.5,0.6439838886836876,LONG,LONG,True,True,0.44999999999999996,0.8,0.7382643361527121,0.6066551072657261,0,0,2024-02-14
AMZN,0.6102440669215279,0.5,0.6159783223422148,LONG,NEUTRAL,False,True,0.49543354655294963,0.8,0.7426044913933314,0.39413680048831834,0,0,2024-02-14
META,0.6043221469622666,0.5,0.6079212883840363,LONG,NEUTRAL,False,True,0.44999999999999996,0.8,0.8,0.36460644192018093,0,0,2024-02-14
SPY,0.5670410807715007,0.5,0.5571987493489806,LONG,NEUTRAL,False,True,0.5268518518518517,0.8,0.3427638970030763,0.4529520719640493,0,0,2024-02-14
NVDA,0.7070918456027468,0.5,0.6602867601765575,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6264338008827872,0,0,2024-02-15
DIS,0.6892508746637115,0.5,0.6382200057683507,LONG,LONG,True,True,0.44999999999999996,0.8,0.7399102981099218,0.5761897307318311,0,0,2024-02-15
AMZN,0.6002234408598184,0.5,0.6023448174963515,LONG,NEUTRAL,False,True,0.4863922601328144,0.8,0.7308089500860584,0.35132674719647755,0,0,2024-02-15
META,0.6000462971819042,0.5,0.6021038056896655,LONG,NEUTRAL,False,True,0.44999999999999996,0.8,0.8,0.33551902844832737,0,0,2024-02-15
AMD,0.5895369455247377,0.5,0.5878053680608676,LONG,NEUTRAL,False,True,0.41236597208173187,0.8,0.8,0.3204778821817399,0,0,2024-02-15
META,0.7065636625280588,0.5,0.6596334725146057,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6231673625730281,0,0,2024-02-16
NVDA,0.7027388558873985,0.5,0.6549027283703136,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.5995136418515677,0,0,2024-02-16
DIS,0.6880479220207067,0.5,0.6367321237114493,LONG,LONG,True,True,0.44999999999999996,0.8,0.7464476275169919,0.5622129910402544,0,0,2024-02-16
JPM,0.665315191271839,0.5,0.6086149551908956,LONG,LONG,True,True,0.55,0.8,0.3983944289768904,0.6196803469775876,0,0,2024-02-16
TSLA,0.6292269752219395,0.5,0.6028921756129084,LONG,LONG,True,False,0.49338842975206626,0.56,0.8,0.6343782334364425,0,0,2024-02-16
META,0.705740375921353,0.5,0.6586151835761942,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6180759178809709,0,0,2024-02-19
DIS,0.6854043910500192,0.5,0.6334624502783168,LONG,LONG,True,True,0.44999999999999996,0.8,0.7389064900153612,0.5534057613762227,0,0,2024-02-19
JPM,0.6466710352628244,0.5,0.5855547745984222,LONG,LONG,True,True,0.467572869955157,0.8,0.410267444639721,0.6161471234196545,0,0,2024-02-19
SPY,0.6444443439620995,0.5,0.5828006728040809,LONG,LONG,True,True,0.5354366903468449,0.8,0.28837723651173464,0.6224710919884023,0,0,2024-02-19
TSLA,0.6369911339355756,0.5,0.6129754986176306,LONG,LONG,True,False,0.5365622655663917,0.56,0.8,0.6200340947385654,0,0,2024-02-19
META,0.705740375921353,0.5,0.6586151835761942,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6180759178809709,0,0,2024-02-20
DIS,0.6854043910500192,0.5,0.6334624502783168,LONG,LONG,True,True,0.44999999999999996,0.8,0.7389064900153612,0.5534057613762227,0,0,2024-02-20
JPM,0.6466710352628244,0.5,0.5855547745984222,LONG,LONG,True,True,0.467572869955157,0.8,0.410267444639721,0.6161471234196545,0,0,2024-02-20
SPY,0.6444443439620995,0.5,0.5828006728040809,LONG,LONG,True,True,0.5354366903468449,0.8,0.28837723651173464,0.6224710919884023,0,0,2024-02-20
TSLA,0.6369911339355756,0.5,0.6129754986176306,LONG,LONG,True,False,0.5365622655663917,0.56,0.8,0.6200340947385654,0,0,2024-02-20
DIS,0.6897898442646874,0.5,0.6388866348357295,LONG,LONG,True,True,0.44999999999999996,0.8,0.7536311481829576,0.5658020259956895,0,0,2024-02-21
JPM,0.6614479734445905,0.5,0.6038317544150779,LONG,LONG,True,True,0.5135000000000005,0.8,0.40346234983215845,0.6454464222432303,0,0,2024-02-21
META,0.6008290802237705,0.5,0.6031688166309801,LONG,NEUTRAL,False,True,0.44999999999999996,0.8,0.8,0.34084408315490056,0,0,2024-02-21
HD,0.576883371083418,0.5,0.5705896205216572,LONG,NEUTRAL,False,True,0.3493143068939961,0.8,0.42897664226729193,0.7,0,0,2024-02-21
NVDA,0.5579322303195694,0.5,0.5448057555368291,LONG,SHORT,False,True,0.18320818953455864,0.8,0.8,0.44921649338230757,0,0,2024-02-21
HD,0.6805645172929342,0.5,0.6274762118651012,LONG,LONG,True,True,0.5894497228820272,0.8,0.42142393840833153,0.6317825365941332,0,0,2024-02-22
JPM,0.6356610851920744,0.5,0.5719370255931656,LONG,LONG,True,True,0.44999999999999996,0.8,0.3887941610293792,0.5958909669364488,0,0,2024-02-22
DIS,0.5945805137595991,0.5,0.5946673656593184,LONG,NEUTRAL,False,True,0.44999999999999996,0.8,0.764708633523067,0.33362819477352557,0,0,2024-02-22
AMZN,0.5553723530216083,0.5,0.5413229292810997,LONG,NEUTRAL,False,True,0.2729119210326497,0.8,0.7422449221695913,0.3550018426869327,0,0,2024-02-22
TSLA,0.5468463948506661,0.5,0.5669234212152373,LONG,NEUTRAL,False,False,0.5495140388768898,0.56,0.8,0.3703460477608519,0,0,2024-02-22
HD,0.6523265421979391,0.5,0.592549835742658,LONG,LONG,True,True,0.48875361937351997,0.7802537699022987,0.4215151167609871,0.6377229780385749,0,0,2024-02-23
JPM,0.6454507754101456,0.5,0.584045485974206,LONG,LONG,True,True,0.44999999999999996,0.8,0.4047393112499741,0.6404881186210559,0,0,2024-02-23
SPY,0.6082233478280628,0.5,0.5380004302140541,LONG,LONG,True,True,0.5528623499142368,0.8,0.2763656622289936,0.3843429639699216,0,0,2024-02-23
AMZN,0.5922990016902657,0.5,0.5915632676058036,LONG,NEUTRAL,False,True,0.261479961371318,0.8,0.7389129829959247,0.626683412976116,0,0,2024-02-23
DIS,0.591376312509827,0.5,0.5903079081766355,LONG,NEUTRAL,False,True,0.44999999999999996,0.8,0.7554178611243831,0.32112167975879397,0,0,2024-02-23
NVDA,0.7432425,0.5,0.7050000000000001,LONG,LONG,True,True,0.55,0.8,0.8,0.7,0,0,2024-02-26
AMZN,0.7384854863237262,0.5,0.6991162477720794,LONG,LONG,True,True,0.6593003412969282,0.8,0.6696101001689891,0.6370206267460153,0,0,2024-02-26
V,0.6708805465013781,0.5,0.6154985114426443,LONG,LONG,True,True,0.6236199238578682,0.8,0.3338653667564422,0.6081973046699772,0,0,2024-02-26
JPM,0.6443902893174666,0.5,0.5827338148639041,LONG,LONG,True,True,0.44999999999999996,0.8,0.43921577278626794,0.5994533015332526,0,0,2024-02-26
TSLA,0.6401098828224092,0.5,0.6170258218472847,LONG,LONG,True,False,0.5750899869109948,0.56,0.8,0.5824941288699308,0,0,2024-02-26
NVDA,0.7061139829625437,0.5,0.6590772825758116,LONG,LONG,True,True,0.4591766063870722,0.8,0.8,0.6066215032984497,0,0,2024-02-27
AMZN,0.7006447049940063,0.5,0.6523125602894326,LONG,LONG,True,True,0.5409301496792589,0.8,0.657821863937013,0.5923457129912615,0,0,2024-02-27
JPM,0.6468871458618577,0.5,0.5858220728037817,LONG,LONG,True,True,0.44999999999999996,0.8,0.4536243533810548,0.6004860106378538,0,0,2024-02-27
V,0.6310994166900378,0.5,0.5662948876809373,LONG,LONG,True,True,0.49452740400393863,0.8,0.31276288368725635,0.576920448711522,0,0,2024-02-27
TSLA,0.6279493455982811,0.5,0.6012329163614039,LONG,LONG,True,False,0.48853322528363047,0.56,0.8,0.6333647438815735,0,0,2024-02-27
NVDA,0.6985354565657224,0.5,0.6497037186960077,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.5735185934800382,0,0,2024-02-28
JPM,0.6435367309519272,0.5,0.5816780840469105,LONG,LONG,True,True,0.44999999999999996,0.8,0.45828982405726026,0.575100596177292,0,0,2024-02-28
TSLA,0.6312917026145985,0.5,0.6055736397592189,LONG,LONG,True,False,0.50539317123642,0.56,0.8,0.6297784419414642,0,0,2024-02-28
SPY,0.6240509392594097,0.5,0.5575769193066291,LONG,LONG,True,True,0.4827276020284957,0.8,0.29510601703954475,0.5686871764508572,0,0,2024-02-28
DIS,0.5794303131280513,0.5,0.574054847793267,LONG,NEUTRAL,False,True,0.25,0.8,0.7518581742695253,0.5434160646968091,0,0,2024-02-28
NVDA,0.7068557240729035,0.5,0.6599947112837397,LONG,LONG,True,True,0.48391176229843663,0.8,0.8,0.5741059129710434,0,0,2024-02-29
JPM,0.6495134748371957,0.5,0.5890704698048184,LONG,LONG,True,True,0.44999999999999996,0.8,0.485304509387142,0.5850478396369496,0,0,2024-02-29
SPY,0.6358505388891988,0.5,0.5721713529860222,LONG,LONG,True,True,0.519388830347735,0.8,0.295819180992525,0.5859543384159835,0,0,2024-02-29
TSLA,0.6294749016653873,0.5,0.6032141580069964,LONG,LONG,True,False,0.5062175717744726,0.56,0.8,0.6167444323732729,0,0,2024-02-29
DIS,0.5833434488629828,0.5,0.5793788419904529,LONG,NEUTRAL,False,True,0.25,0.8,0.7442325296544614,0.577661680297803,0,0,2024-02-29
AMD,0.748845936131387,0.5,0.7119306569343066,LONG,LONG,True,True,0.573102189781022,0.8,0.8,0.7,0,0,2024-03-01
JPM,0.6660480754774583,0.5,0.6095214291619766,LONG,LONG,True,True,0.44999999999999996,0.8,0.5134919572785048,0.659115188531378,0,0,2024-03-01
NVDA,0.6610965068585323,0.6721183993348233,0.6114002871674326,LONG,NEUTRAL,False,True,0.4603097345132743,0.8,0.8,0.3665368340672516,0,0,2024-03-01
SPY,0.639018707744353,0.5,0.5760899291828732,LONG,LONG,True,True,0.5074823053589487,0.8,0.26650649572036844,0.6527196921555745,0,0,2024-03-01
TSLA,0.6288981765637944,0.5,0.6024651643685641,LONG,LONG,True,False,0.5175000000000001,0.56,0.8,0.5960758218428199,0,0,2024-03-01
NVDA,0.7630030348252899,0.6721183993348233,0.6556759547999673,LONG,LONG,True,True,0.45422413793103456,0.8,0.8,0.5970435671032848,0,0,2024-03-04
AMD,0.7190260612082672,0.5,0.6750476947535772,LONG,LONG,True,True,0.4501589825119238,0.8,0.8,0.7,0,0,2024-03-04
AMZN,0.6977360397453489,0.5,0.6487149533028433,LONG,LONG,True,True,0.6473463687150837,0.8,0.5102767077935426,0.5622785056480485,0,0,2024-03-04
JPM,0.6564371836552529,0.5,0.5976341170751428,LONG,LONG,True,True,0.44999999999999996,0.8,0.5202261118899438,0.5929444734857703,0,0,2024-03-04
QQQ,0.6498139109732819,0.5,0.5894420667573059,LONG,LONG,True,True,0.6371327849588719,0.7031358432887488,0.3122984150438074,0.6245089763712911,0,0,2024-03-04
NVDA,0.7679412202007236,0.6721183993348233,0.6617837907621611,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.633918953810805,0,0,2024-03-05
AMD,0.7150436374939031,0.5,0.670122000610888,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6756100030544399,0,0,2024-03-05
AMZN,0.6749215722501988,0.5,0.6204966880027195,LONG,LONG,True,True,0.5225768321513,0.8,0.5287030303249192,0.5899151614617287,0,0,2024-03-05
JPM,0.6615988286538999,0.5,0.604018340944836,LONG,LONG,True,True,0.44999999999999996,0.8,0.5347890141995899,0.61030269052459,0,0,2024-03-05
HD,0.6431694585390477,0.5,0.5812238200854022,LONG,LONG,True,True,0.4584261133603234,0.7017274077574917,0.5681935521767243,0.5976952665735644,0,0,2024-03-05
NVDA,0.7639420212568567,0.6721183993348233,0.6568373480362899,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6091867401814492,0,0,2024-03-06
AMD,0.7066651383329132,0.5,0.6597589837141783,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6237949185708911,0,0,2024-03-06
JPM,0.6604284959644049,0.5,0.6025708051507791,LONG,LONG,True,True,0.44999999999999996,0.8,0.5359018070235253,0.6019522187303701,0,0,2024-03-06
HD,0.6475030883083916,0.5,0.5865839063802,LONG,LONG,True,True,0.44999999999999996,0.7340161588723082,0.5394775283394551,0.6174177652530823,0,0,2024-03-06
META,0.5887481636809107,0.5,0.5867321954842322,LONG,NEUTRAL,False,True,0.28835311572700295,0.8,0.7028919231598638,0.5982393806707924,0,0,2024-03-06
NVDA,0.7670545663782843,0.6721183993348233,0.6606871255519702,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6284356277598506,0,0,2024-03-07
AMD,0.7147989743198389,0.5,0.669819386913839,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6740969345691947,0,0,2024-03-07
JPM,0.6639927511401301,0.5,0.6069792840323193,LONG,LONG,True,True,0.44999999999999996,0.8,0.5383324162778601,0.6215640038837362,0,0,2024-03-07
INTC,0.5837946180669236,0.5,0.5438891143726281,LONG,LONG,True,False,0.5897084048027444,0.32,0.7014699239574386,0.653413040701585,0,0,2024-03-07
DIS,0.5786638793368045,0.5,0.5730120807303464,LONG,NEUTRAL,False,True,0.43629032258064526,0.8,0.6320604345681577,0.3785644852126061,0,0,2024-03-07
NVDA,0.7679652179705013,0.6721183993348233,0.6618134726048052,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6340673630240257,0,0,2024-03-08
AMD,0.7054870545961216,0.5,0.658301860972321,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6165093048616046,0,0,2024-03-08
JPM,0.6640638839164884,0.5,0.6070672652028305,LONG,LONG,True,True,0.44999999999999996,0.8,0.5382285623037205,0.6221077637104321,0,0,2024-03-08
INTC,0.6569021406101351,0.5,0.6388339488443312,LONG,LONG,True,False,0.5401595744680852,0.6487993165928778,0.7690313444049136,0.6417000632252976,0,0,2024-03-08
META,0.5949062367783092,0.5,0.5951105262289922,LONG,NEUTRAL,False,True,0.2935054457442515,0.8,0.7005570616930659,0.6347374008355176,0,0,2024-03-08
NVDA,0.7796225196765827,0.6721183993348233,0.6762319039048439,LONG,LONG,True,True,0.45410634634947966,0.8,0.8,0.7,0,0,2024-03-11
